epoch,map,map_05,train loss,train cls loss,train box reg loss,train obj loss,train rpn loss
1,0.2292489921920101,0.6038530952406999,0.1717836856842041,0.20842357,0.13367096,0.010683782,0.0030698488
2,0.532527945535728,0.9541342710881655,0.09707596153020859,0.054747157,0.07802374,0.0023447864,0.0016396762
3,0.5716581532486581,0.9700017956215345,0.10090170800685883,0.031400587,0.0584524,0.0011286301,0.0012936437
4,0.5601588861155025,0.9671662940137753,0.07540951669216156,0.025576858,0.05031599,0.0008870171,0.0011700513
5,0.587600622013946,0.9743891536344732,0.06398864090442657,0.022191774,0.04488633,0.0006993258,0.0010750656
